"","flow","rivseg","basin","river","DAsqmi","bascd","Upstream","Downstream","downseg","upseg"
"343",0,"WL0_4603_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",17.7553997,"WL","4603","0000","NA","NA"
"344",0,"WL0_4770_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",11.85330009,"WL","4770","0000","NA","NA"
"345",0,"WL0_4771_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",12.44939995,"WL","4771","0000","NA","NA"
"346",0,"WL0_4772_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",33.41719818,"WL","4772","0000","NA","NA"
"347",0,"WL0_4920_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",9.690580368,"WL","4920","0000","NA","NA"
"348",0,"WL0_4921_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",12.41629982,"WL","4921","0000","NA","NA"
"349",0,"WL0_4922_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",5.704929829,"WL","4922","0000","NA","NA"
"350",0,"WL0_4925_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",3.691679955,"WL","4925","0000","NA","NA"
"351",0,"WL0_4923_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",19.8491993,"WL","4923","0000","NA","NA"
"352",0,"WL0_4924_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",4.982389927,"WL","4924","0000","NA","NA"
"353",0,"WL0_5880_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",10.92529964,"WL","5880","0000","NA","NA"
"354",0,"WL0_5881_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",2.895359993,"WL","5881","0000","NA","NA"
"355",0,"WM0_3650_0001","Western Shore of Chesapeake Bay","Jones Falls",58.23730087,"WM","3650","0001","NA","NA"
"357",0,"WM0_3740_0001","Western Shore of Chesapeake Bay","Herring Run",29.99710083,"WM","3740","0001","NA","NA"
"358",0,"WM0_3741_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",9.723509789,"WM","3741","0000","NA","NA"
"359",0,"WM0_3742_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",6.683330059,"WM","3742","0000","NA","NA"
"362",0,"WM0_3960_0000","Western Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",14.75790024,"WM","3960","0000","NA","NA"
